date	wave_height	wave_direction	wind_wave_direction	predicted_latitude	predicted_longitude
2024-08-20 13:00:00+00:00	0.04	93.0	46.0	13.862102062815055	121.09533069089613
2024-08-20 14:00:00+00:00	0.02	102.0	47.0	13.881665015035495	121.09117245853506
2024-08-20 15:00:00+00:00	0.02	111.0	48.0	13.900336624496802	121.08400510011799
2024-08-20 16:00:00+00:00	0.02	60.0	34.0	13.917657132634147	121.09400509896315
2024-08-20 17:00:00+00:00	0.02	9.0	19.0	13.920785822115093	121.11375886614061
2024-08-20 18:00:00+00:00	0.02	318.0	5.0	13.907403211250156	121.12862176301516
2024-08-20 19:00:00+00:00	0.02	320.0	13.0	13.894547456084936	121.14394264894165
2024-08-20 20:00:00+00:00	0.02	322.0	20.0	13.88223422891572	121.15970286580361
2024-08-20 21:00:00+00:00	0.02	324.0	28.0	13.870478523104637	121.17588320414163
2024-08-20 22:00:00+00:00	0.02	307.0	42.0	13.85450581568405	121.1879195071999
2024-08-20 23:00:00+00:00	0.02	289.0	56.0	13.835595444916933	121.19443087040074
2024-08-21 00:00:00+00:00	0.02	272.0	70.0	13.81560762892589	121.19512885656533
2024-08-21 01:00:00+00:00	0.02	251.0	124.0	13.796697258158773	121.18861749336449
2024-08-21 02:00:00+00:00	0.02	231.0	178.0	13.781154338411241	121.17603108600107
2024-08-21 03:00:00+00:00	0.02	210.0	232.0	13.771154339566081	121.15871057786373
2024-08-21 04:00:00+00:00	0.02	203.0	215.0	13.763339718013256	121.14030048005608
2024-08-21 05:00:00+00:00	0.02	195.0	199.0	13.758163336805254	121.12098196462122
2024-08-21 06:00:00+00:00	0.02	188.0	182.0	13.755379874400049	121.10117660403577
2024-08-21 07:00:00+00:00	0.02	190.0	183.0	13.751906909655034	121.08148045033542
2024-08-21 08:00:00+00:00	0.02	191.0	185.0	13.748090730655193	121.06184790782956
2024-08-21 09:00:00+00:00	0.02	193.0	186.0	13.743591709668934	121.04236050635902
2024-08-21 10:00:00+00:00	0.02	241.0	240.0	13.726099314774572	121.03266431425092
2024-08-21 11:00:00+00:00	0.04	289.0	293.0	13.68827857324034	121.04568704065261
2024-08-21 12:00:00+00:00	0.04	337.0	347.0	13.67264933013469	121.0825072362679
2024-08-21 13:00:00+00:00	0.04	336.0	344.0	13.656379871676862	121.11904905584035
2024-08-21 14:00:00+00:00	0.04	336.0	342.0	13.640110413219034	121.1555908754128
2024-08-21 15:00:00+00:00	0.04	335.0	339.0	13.623205675418674	121.1918431840497
2024-08-21 16:00:00+00:00	0.04	332.0	345.0	13.60442681671232	121.22716108929691
2024-08-21 17:00:00+00:00	0.06	330.0	352.0	13.574426806207	121.27912260812101
2024-08-21 18:00:00+00:00	0.06	327.0	358.0	13.541748470301926	121.32944284227071
2024-08-21 19:00:00+00:00	0.06	324.0	0.0	13.506481351937353	121.3779838591474
2024-08-21 20:00:00+00:00	0.06	321.0	2.0	13.468722118671238	121.4246126062828
2024-08-21 21:00:00+00:00	0.06	318.0	4.0	13.428574285145103	121.4692012987691
2024-08-21 22:00:00+00:00	0.06	316.0	5.0	13.386894776161014	121.51236167397676
2024-08-21 23:00:00+00:00	0.04	314.0	5.0	13.358121183376014	121.54014800709066
2024-08-22 00:00:00+00:00	0.04	312.0	6.0	13.3283953970775	121.56691323627112
2024-08-22 01:00:00+00:00	0.04	301.0	324.0	13.294108700613677	121.587514750998
2024-08-22 02:00:00+00:00	0.02	291.0	282.0	13.27543709115237	121.5946821066211
2024-08-22 03:00:00+00:00	0.02	280.0	240.0	13.255740937452018	121.5981550697363
2024-08-22 04:00:00+00:00	0.02	267.0	224.0	13.235768348585069	121.59710834721429
2024-08-22 05:00:00+00:00	0.02	255.0	207.0	13.216449833150207	121.59193196786893
2024-08-22 06:00:00+00:00	0.02	242.0	191.0	13.198790882389247	121.58254253572179
2024-08-22 07:00:00+00:00	0.02	240.0	242.0	13.181470374251901	121.57254253780795
2024-08-22 08:00:00+00:00	0.02	237.0	292.0	13.164696964110433	121.56164975544763
2024-08-22 09:00:00+00:00	0.02	235.0	343.0	13.148313921551406	121.55017822875035
2024-08-22 10:00:00+00:00	0.02	254.0	348.0	13.129088687385618	121.54466548456205
2024-08-22 11:00:00+00:00	0.02	273.0	352.0	13.109116098518669	121.54571220754971
2024-08-22 12:00:00+00:00	0.02	292.0	357.0	13.090572421114146	121.55320433398103
2024-08-22 13:00:00+00:00	0.02	284.0	345.0	13.071166506643593	121.5580427731513
2024-08-22 14:00:00+00:00	0.02	277.0	332.0	13.051315583895146	121.56048015608778
2024-08-22 15:00:00+00:00	0.02	269.0	320.0	13.031318629767	121.56013111018203
2024-08-22 16:00:00+00:00	0.02	277.0	323.0	13.011467707018554	121.5625684931185
